,Unnamed: 0.1,Unnamed: 0,symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-L/100Km,highway-mpg,price,price-binned
135,135,135,2.0,104.0,17,1,0,0,3,1,0,99.1,0.8966842864007688,66.5,56.1,2758.0,2,2,121.0,5,3.54,3.07,9.3,110.0,5250.0,11.19047619047619,28.0,15510.0,1
136,136,136,3.0,150.0,17,1,1,1,2,1,0,99.1,0.8966842864007688,66.5,56.1,2808.0,0,2,121.0,5,3.54,3.07,9.0,160.0,5500.0,12.36842105263158,26.0,18150.0,1
137,137,137,2.0,104.0,17,1,1,0,3,1,0,99.1,0.8966842864007688,66.5,56.1,2847.0,0,2,121.0,5,3.54,3.07,9.0,160.0,5500.0,12.36842105263158,26.0,18620.0,2
138,138,138,2.0,83.0,18,1,0,1,2,1,0,93.7,0.7539644401729938,63.4,53.7,2050.0,3,2,97.0,1,3.62,2.36,9.0,69.0,4900.0,7.580645161290323,36.0,5118.0,1
139,139,139,2.0,83.0,18,1,0,1,2,1,0,93.7,0.758769822200865,63.6,53.7,2120.0,3,2,108.0,1,3.62,2.64,8.7,73.0,4400.0,9.038461538461538,31.0,7053.0,1
140,140,140,2.0,83.0,18,1,0,1,2,0,0,93.3,0.7558865929841423,63.8,55.7,2240.0,3,2,108.0,1,3.62,2.64,8.7,73.0,4400.0,9.038461538461538,31.0,7603.0,1
141,141,141,0.0,102.0,18,1,0,0,3,1,0,97.2,0.8265257087938491,65.4,52.5,2145.0,3,2,108.0,1,3.62,2.64,9.5,82.0,4800.0,7.34375,37.0,7126.0,1
142,142,142,0.0,102.0,18,1,0,0,3,1,0,97.2,0.8265257087938491,65.4,52.5,2190.0,3,2,108.0,1,3.62,2.64,9.5,82.0,4400.0,8.392857142857142,33.0,7775.0,1
143,143,143,0.0,102.0,18,1,0,0,3,1,0,97.2,0.8265257087938491,65.4,52.5,2340.0,3,2,108.0,5,3.62,2.64,9.0,94.0,5200.0,9.038461538461538,32.0,9960.0,1
144,144,144,0.0,102.0,18,1,0,0,3,0,0,97.0,0.8265257087938491,65.4,54.3,2385.0,3,2,108.0,1,3.62,2.64,9.0,82.0,4800.0,9.791666666666666,25.0,9233.0,1
145,145,145,0.0,102.0,18,1,1,0,3,0,0,97.0,0.8265257087938491,65.4,54.3,2510.0,3,2,108.0,5,3.62,2.64,7.7,111.0,4800.0,9.791666666666666,29.0,11259.0,1
146,146,146,0.0,89.0,18,1,0,0,4,1,0,97.0,0.8337337818356559,65.4,53.0,2290.0,3,2,108.0,1,3.62,2.64,9.0,82.0,4800.0,8.392857142857142,32.0,7463.0,1
147,147,147,0.0,89.0,18,1,0,0,4,1,0,97.0,0.8337337818356559,65.4,53.0,2455.0,3,2,108.0,5,3.62,2.64,9.0,94.0,5200.0,9.4,31.0,10198.0,1
148,148,148,0.0,85.0,18,1,0,0,4,0,0,96.9,0.8342143200384431,65.4,54.9,2420.0,3,2,108.0,1,3.62,2.64,9.0,82.0,4800.0,10.217391304347826,29.0,8013.0,1
149,149,149,0.0,85.0,18,1,1,0,4,0,0,96.9,0.8342143200384431,65.4,54.9,2650.0,3,2,108.0,5,3.62,2.64,7.7,111.0,4800.0,10.217391304347826,23.0,11694.0,1
150,150,150,1.0,87.0,19,1,0,1,2,1,0,95.7,0.762614127823162,63.6,54.5,1985.0,2,2,92.0,1,3.05,3.03,9.0,62.0,4800.0,6.714285714285714,39.0,5348.0,1
151,151,151,1.0,87.0,19,1,0,1,2,1,0,95.7,0.762614127823162,63.6,54.5,2040.0,2,2,92.0,1,3.05,3.03,9.0,62.0,4800.0,7.580645161290323,38.0,6338.0,1
152,152,152,1.0,74.0,19,1,0,0,2,1,0,95.7,0.762614127823162,63.6,54.5,2015.0,2,2,92.0,1,3.05,3.03,9.0,62.0,4800.0,7.580645161290323,38.0,6488.0,1
153,153,153,0.0,77.0,19,1,0,0,4,1,0,95.7,0.8154733301297453,63.6,59.1,2280.0,2,2,92.0,1,3.05,3.03,9.0,62.0,4800.0,7.580645161290323,37.0,6918.0,1
154,154,154,0.0,81.0,19,1,0,0,4,0,0,95.7,0.8154733301297453,63.6,59.1,2290.0,2,2,92.0,1,3.05,3.03,9.0,62.0,4800.0,8.703703703703704,32.0,7898.0,1
155,155,155,0.0,91.0,19,1,0,0,4,0,0,95.7,0.8154733301297453,63.6,59.1,3110.0,2,2,92.0,1,3.05,3.03,9.0,62.0,4800.0,8.703703703703704,32.0,8778.0,1
156,156,156,0.0,91.0,19,1,0,0,3,1,0,95.7,0.7991350312349833,64.4,53.0,2081.0,2,2,98.0,1,3.19,3.03,9.0,70.0,4800.0,7.833333333333333,37.0,6938.0,1
157,157,157,0.0,91.0,19,1,0,0,2,1,0,95.7,0.7991350312349833,64.4,52.8,2109.0,2,2,98.0,1,3.19,3.03,9.0,70.0,4800.0,7.833333333333333,37.0,7198.0,1
158,158,158,0.0,91.0,19,0,0,0,3,1,0,95.7,0.7991350312349833,64.4,53.0,2275.0,2,2,110.0,3,3.27,3.35,22.5,56.0,4500.0,6.911764705882353,36.0,7898.0,1
159,159,159,0.0,91.0,19,0,0,0,2,1,0,95.7,0.7991350312349833,64.4,52.8,2275.0,2,2,110.0,3,3.27,3.35,22.5,56.0,4500.0,6.184210526315789,47.0,7788.0,1
160,160,160,0.0,91.0,19,1,0,0,3,1,0,95.7,0.7991350312349833,64.4,53.0,2094.0,2,2,98.0,1,3.19,3.03,9.0,70.0,4800.0,6.184210526315789,47.0,7738.0,1
161,161,161,0.0,91.0,19,1,0,0,2,1,0,95.7,0.7991350312349833,64.4,52.8,2122.0,2,2,98.0,1,3.19,3.03,9.0,70.0,4800.0,8.392857142857142,34.0,8358.0,1
162,162,162,0.0,91.0,19,1,0,0,3,1,0,95.7,0.7991350312349833,64.4,52.8,2140.0,2,2,98.0,1,3.19,3.03,9.0,70.0,4800.0,8.392857142857142,34.0,9258.0,1
163,163,163,1.0,168.0,19,1,0,1,3,2,0,94.5,0.810667948101874,64.0,52.6,2169.0,2,2,98.0,1,3.19,3.03,9.0,70.0,4800.0,8.10344827586207,34.0,8058.0,1
164,164,164,1.0,168.0,19,1,0,1,2,2,0,94.5,0.810667948101874,64.0,52.6,2204.0,2,2,98.0,1,3.19,3.03,9.0,70.0,4800.0,8.10344827586207,34.0,8238.0,1
165,165,165,1.0,168.0,19,1,0,1,3,2,0,94.5,0.810667948101874,64.0,52.6,2265.0,0,2,98.0,5,3.24,3.08,9.4,112.0,6600.0,9.038461538461538,29.0,9298.0,1
166,166,166,1.0,168.0,19,1,0,1,2,2,0,94.5,0.810667948101874,64.0,52.6,2300.0,0,2,98.0,5,3.24,3.08,9.4,112.0,6600.0,9.038461538461538,29.0,9538.0,1
167,167,167,2.0,134.0,19,1,0,1,1,2,0,98.4,0.8467083133109082,65.6,52.0,2540.0,2,2,146.0,5,3.62,3.5,9.3,116.0,4800.0,9.791666666666666,30.0,8449.0,1
168,168,168,2.0,134.0,19,1,0,1,1,2,0,98.4,0.8467083133109082,65.6,52.0,2536.0,2,2,146.0,5,3.62,3.5,9.3,116.0,4800.0,9.791666666666666,30.0,9639.0,1
169,169,169,2.0,134.0,19,1,0,1,2,2,0,98.4,0.8467083133109082,65.6,52.0,2551.0,2,2,146.0,5,3.62,3.5,9.3,116.0,4800.0,9.791666666666666,30.0,9989.0,1
170,170,170,2.0,134.0,19,1,0,1,1,2,0,98.4,0.8467083133109082,65.6,52.0,2679.0,2,2,146.0,5,3.62,3.5,9.3,116.0,4800.0,9.791666666666666,30.0,11199.0,1
171,171,171,2.0,134.0,19,1,0,1,2,2,0,98.4,0.8467083133109082,65.6,52.0,2714.0,2,2,146.0,5,3.62,3.5,9.3,116.0,4800.0,9.791666666666666,30.0,11549.0,1
172,172,172,2.0,134.0,19,1,0,1,0,2,0,98.4,0.8467083133109082,65.6,53.0,2975.0,2,2,146.0,5,3.62,3.5,9.3,116.0,4800.0,9.791666666666666,30.0,17669.0,1
173,173,173,-1.0,65.0,19,1,0,0,3,1,0,102.4,0.8438250840941854,66.5,54.9,2326.0,2,2,122.0,5,3.31,3.54,8.7,92.0,4200.0,8.10344827586207,34.0,8948.0,1
174,174,174,-1.0,65.0,19,0,1,0,3,1,0,102.4,0.8438250840941854,66.5,54.9,2480.0,2,2,110.0,3,3.27,3.35,22.5,73.0,4500.0,7.833333333333333,33.0,10698.0,1
175,175,175,-1.0,65.0,19,1,0,0,2,1,0,102.4,0.8438250840941854,66.5,53.9,2414.0,2,2,122.0,5,3.31,3.54,8.7,92.0,4200.0,8.703703703703704,32.0,9988.0,1
176,176,176,-1.0,65.0,19,1,0,0,3,1,0,102.4,0.8438250840941854,66.5,54.9,2414.0,2,2,122.0,5,3.31,3.54,8.7,92.0,4200.0,8.703703703703704,32.0,10898.0,1
177,177,177,-1.0,65.0,19,1,0,0,2,1,0,102.4,0.8438250840941854,66.5,53.9,2458.0,2,2,122.0,5,3.31,3.54,8.7,92.0,4200.0,8.703703703703704,32.0,11248.0,1
178,178,178,3.0,197.0,19,1,0,1,2,2,0,102.9,0.8817876021143681,67.7,52.0,2976.0,0,3,171.0,5,3.27,3.35,9.3,161.0,5200.0,11.75,24.0,16558.0,1
179,179,179,3.0,197.0,19,1,0,1,2,2,0,102.9,0.8817876021143681,67.7,52.0,3016.0,0,3,171.0,5,3.27,3.35,9.3,161.0,5200.0,12.36842105263158,24.0,15998.0,1
180,180,180,-1.0,90.0,19,1,0,0,3,2,0,104.5,0.9024507448342144,66.5,54.1,3131.0,0,3,171.0,5,3.27,3.35,9.2,156.0,5200.0,11.75,24.0,15690.0,1
181,181,181,-1.0,122.0,19,1,0,0,4,2,0,104.5,0.9024507448342144,66.5,54.1,3151.0,0,3,161.0,5,3.27,3.35,9.2,156.0,5200.0,12.36842105263158,24.0,15750.0,1
182,182,182,2.0,122.0,20,0,0,1,3,1,0,97.3,0.8250840941854877,65.5,55.7,2261.0,2,2,97.0,3,3.01,3.4,23.0,52.0,4800.0,6.351351351351352,46.0,7775.0,1
183,183,183,2.0,122.0,20,1,0,1,3,1,0,97.3,0.8250840941854877,65.5,55.7,2209.0,2,2,109.0,5,3.19,3.4,9.0,85.0,5250.0,8.703703703703704,34.0,7975.0,1
184,184,184,2.0,94.0,20,0,0,0,3,1,0,97.3,0.8250840941854877,65.5,55.7,2264.0,2,2,97.0,3,3.01,3.4,23.0,52.0,4800.0,6.351351351351352,46.0,7995.0,1
185,185,185,2.0,94.0,20,1,0,0,3,1,0,97.3,0.8250840941854877,65.5,55.7,2212.0,2,2,109.0,5,3.19,3.4,9.0,85.0,5250.0,8.703703703703704,34.0,8195.0,1
186,186,186,2.0,94.0,20,1,0,0,3,1,0,97.3,0.8250840941854877,65.5,55.7,2275.0,2,2,109.0,5,3.19,3.4,9.0,85.0,5250.0,8.703703703703704,34.0,8495.0,1
187,187,187,2.0,94.0,20,0,1,0,3,1,0,97.3,0.8250840941854877,65.5,55.7,2319.0,2,2,97.0,3,3.01,3.4,23.0,68.0,4500.0,6.351351351351352,42.0,9495.0,1
188,188,188,2.0,94.0,20,1,0,0,3,1,0,97.3,0.8250840941854877,65.5,55.7,2300.0,2,2,109.0,5,3.19,3.4,10.0,100.0,5500.0,9.038461538461538,32.0,9995.0,1
189,189,189,3.0,122.0,20,1,0,1,0,1,0,94.5,0.7654973570398848,64.2,55.6,2254.0,2,2,109.0,5,3.19,3.4,8.5,90.0,5500.0,9.791666666666666,29.0,11595.0,1
190,190,190,3.0,256.0,20,1,0,1,2,1,0,94.5,0.7962518020182604,64.0,51.4,2221.0,2,2,109.0,5,3.19,3.4,8.5,90.0,5500.0,9.791666666666666,29.0,9980.0,1
191,191,191,0.0,122.0,20,1,0,0,3,1,0,100.4,0.865929841422393,66.9,55.1,2661.0,2,1,136.0,5,3.19,3.4,8.5,110.0,5500.0,12.36842105263158,24.0,13295.0,1
192,192,192,0.0,122.0,20,0,1,0,3,1,0,100.4,0.865929841422393,66.9,55.1,2579.0,2,2,97.0,3,3.01,3.4,23.0,68.0,4500.0,7.121212121212121,38.0,13845.0,1
193,193,193,0.0,122.0,20,1,0,0,4,1,0,100.4,0.8798654493032196,66.9,55.1,2563.0,2,2,109.0,5,3.19,3.4,9.0,88.0,5500.0,9.4,31.0,12290.0,1
194,194,194,-2.0,103.0,21,1,0,0,3,2,0,104.3,0.9072561268620856,67.2,56.2,2912.0,2,2,141.0,5,3.78,3.15,9.5,114.0,5400.0,10.217391304347826,28.0,12940.0,1
195,195,195,-1.0,74.0,21,1,0,0,4,2,0,104.3,0.9072561268620856,67.2,57.5,3034.0,2,2,141.0,5,3.78,3.15,9.5,114.0,5400.0,10.217391304347826,28.0,13415.0,1
196,196,196,-2.0,103.0,21,1,0,0,3,2,0,104.3,0.9072561268620856,67.2,56.2,2935.0,2,2,141.0,5,3.78,3.15,9.5,114.0,5400.0,9.791666666666666,28.0,15985.0,1
197,197,197,-1.0,74.0,21,1,0,0,4,2,0,104.3,0.9072561268620856,67.2,57.5,3042.0,2,2,141.0,5,3.78,3.15,9.5,114.0,5400.0,9.791666666666666,28.0,16515.0,1
198,198,198,-2.0,103.0,21,1,1,0,3,2,0,104.3,0.9072561268620856,67.2,56.2,3045.0,2,2,130.0,5,3.62,3.15,7.5,162.0,5100.0,13.823529411764708,22.0,18420.0,1
199,199,199,-1.0,74.0,21,1,1,0,4,2,0,104.3,0.9072561268620856,67.2,57.5,3157.0,2,2,130.0,5,3.62,3.15,7.5,162.0,5100.0,13.823529411764708,22.0,18950.0,2
200,200,200,-1.0,95.0,21,1,0,0,3,2,0,109.1,0.9072561268620856,68.9,55.5,2952.0,2,2,141.0,5,3.78,3.15,9.5,114.0,5400.0,10.217391304347826,28.0,16845.0,1
201,201,201,-1.0,95.0,21,1,1,0,3,2,0,109.1,0.9072561268620856,68.8,55.5,3049.0,2,2,141.0,5,3.78,3.15,8.7,160.0,5300.0,12.36842105263158,25.0,19045.0,2
202,202,202,-1.0,95.0,21,1,0,0,3,2,0,109.1,0.9072561268620856,68.9,55.5,3012.0,4,3,173.0,5,3.58,2.87,8.8,134.0,5500.0,13.055555555555555,23.0,21485.0,2
203,203,203,-1.0,95.0,21,0,1,0,3,2,0,109.1,0.9072561268620856,68.9,55.5,3217.0,2,3,145.0,3,3.01,3.4,23.0,106.0,4800.0,9.038461538461538,27.0,22470.0,2
204,204,204,-1.0,95.0,21,1,1,0,3,2,0,109.1,0.9072561268620856,68.9,55.5,3062.0,2,2,141.0,5,3.78,3.15,9.5,114.0,5400.0,12.36842105263158,25.0,22625.0,2
